univ,year,ques_num,question,num_words,input1,input2,input3
University of California,2022,1,"Describe an example of your leadership experience in which you have positively influenced others, helped resolve disputes or contributed to group efforts over time.",350,Describe a leadership experience you've had and the situation.,Share an experience where you positively contributed to a group project over time.,Describe a time when you helped resolve a dispute and how it positively impacted others involved.
University of California,2022,2,"Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side.",350,Can you describe your approach to problem-solving and how it showcases your creativity?,How have you demonstrated original and innovative thinking in a project or activity you've pursued?,In what ways do you express your creativity artistically or through other means? Please provide examples.
University of California,2022,3,What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time?,350,What talent or skill do you believe sets you apart from others? How did you discover and develop this talent or skill?,Can you provide an example of a time when you used your greatest talent or skill to overcome a challenge or achieve a goal?,How have you continued to hone and improve your greatest talent or skill over time? Please provide examples.
University of California,2022,4,Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced.,350,"Have you ever faced an educational barrier or challenge that has hindered your academic progress? If so, how did you overcome it?",Can you describe a significant educational opportunity you've taken advantage of? How has this opportunity impacted your personal and academic growth?,"In what ways have you actively sought out opportunities to enhance your education, such as attending conferences, workshops, or participating in extracurricular activities? Please provide examples."
University of California,2022,5,Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement?,350,What was the most significant challenge you faced and how did it impact your academic achievement?,Can you describe the specific steps you took to overcome this challenge and how these steps helped you achieve success?,In what ways has overcoming this challenge impacted your personal growth and development? Please provide examples.
University of California,2022,6,Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom.,350,Can you describe your initial interest in the academic subject that inspires you and how you became interested in it?,"How have you pursued your interest in this academic subject outside of the classroom, such as through independent research, internships, or extracurricular activities?",In what ways has your interest in this academic subject influenced your academic and personal goals for the future? Please provide examples.
University of California,2022,7,What have you done to make your school or your community a better place?,350,What motivated you to take action and make a positive impact in your school or community?,Can you describe a specific project or initiative you undertook to improve your school or community? What were the goals and outcomes of this project?,How has your experience of making a positive impact in your school or community influenced your personal and academic goals for the future? Please provide examples.
University of California,2022,8,"Beyond what has already been shared in your application, what do you believe makes you a strong candidate for admissions to the University of California?",350,"What unique experiences, perspectives, or qualities do you possess that distinguish you from other applicants?","How have you demonstrated leadership, initiative, or creativity in your personal or academic pursuits that would make you a strong candidate for admissions to the University of California?",In what ways do your academic and personal goals align with the mission and values of the University of California? Please provide examples.
California State University,2022,1,"Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.",650,"What is the background, identity, interest, or talent that you believe is so meaningful to your life and your identity?","How has this background, identity, interest, or talent shaped your personal experiences, values, or perspectives?","In what ways do you believe this background, identity, interest, or talent will contribute to your academic and personal growth as a college student?"
California State University,2022,2,"The lessons we take from obstacles we encounter can be fundamental to later success. Recount a time when you faced a challenge, setback, or failure. How did it affect you, and what did you learn from the experience?",650,"What was the challenge, setback, or failure you faced?","How did you initially respond to this obstacle, and what steps did you take to overcome it?","What did you learn from this experience, and how has it influenced your perspective or actions since then?"
California State University,2022,3,Reflect on a time when you questioned or challenged a belief or idea. What prompted your thinking? What was the outcome?,650,What belief or idea did you question or challenge?,What were the factors that led you to question or challenge this belief or idea?,"How did you approach the situation, and what was the outcome of the experience?"
California State University,2022,4,Reflect on something that someone has done for you that has made you happy or thankful in a surprising way. How has this gratitude affected or motivated you?,650,Can you describe the situation in which this person made you feel grateful and happy?,What specifically did this person do for you that made you feel thankful in a surprising way?,How has this experience impacted your outlook on life or your relationships with others?
California State University,2022,5,"Discuss an accomplishment, event, or realization that sparked a period of personal growth and a new understanding of yourself or others.",650,"What was the accomplishment, event, or realization that sparked your personal growth?",How did this experience change your understanding of yourself or others?,What specific actions did you take as a result of this personal growth?
California State University,2022,6,"Describe a topic, idea, or concept you find so engaging that it makes you lose all track of time. Why does it captivate you? What or who do you turn to when you want to learn more?",650,"What is the topic, idea, or concept that you find so engaging? How did you first become interested in it?",How does engaging with this topic make you feel? Can you describe a specific experience where you lost track of time while learning about it?,What resources do you typically use to learn more about this topic? Are there any particular people or communities you turn to for guidance or support?
California State University,2022,7,"Share an essay on any topic of your choice. It can be one you‘ve already written, one that responds to a different prompt, or one of your own design.",650,What's a lesson you've learned from someone who isn't typically recognized as a teacher or mentor? How has this lesson affected you?,"Think about a time when you experienced a significant cultural misunderstanding. What did you learn from the experience, and how has it changed your perspective?","Share a story about a time when you took a risk, even if it wasn't a conventional one. What did you gain or lose from this experience, and how has it influenced you?"
Boston University,2022,1,What about being a student at Boston University most excites you? ,250,What specific opportunities or programs at Boston University do you look forward to participating in? How do you see these experiences contributing to your personal and professional growth?,Reflect on a time when you were particularly challenged or inspired by a college course or academic subject. How does Boston University's academic offerings align with your passions and academic goals?,"Boston University values diversity, equity, and inclusion in its community. How have your experiences with diversity and inclusivity influenced your decision to apply to Boston University? How do you plan to contribute to fostering a diverse and inclusive community on campus?"
Boston University,2022,2,"Please use this space if you have additional information, materials, or writing samples you would like us to consider.",250,Is there anything in your academic or personal history that you feel may have been misunderstood or overlooked by the admissions committee? Please explain.,"Are there any special talents or skills that you possess that you were unable to showcase in your application? If so, please elaborate.",Do you have any unique experiences or perspectives that you feel would contribute to the diversity and inclusivity of the Boston University community? Please describe.
New York University,2022,1,"NYU was founded on the belief that a student’s identity should not dictate the ability for them to access higher education. That sense of opportunity for all students, of all backgrounds, remains a part of who we are today and a critical part of what makes us a world class university. Our community embraces diversity, in all its forms, as a cornerstone of the NYU experience. We would like to better understand how your experiences would help us to shape and grow our diverse community. Please respond in 250 words or less.",250,How have your experiences with diversity shaped your understanding of the world?,What unique perspective or experiences do you bring to the NYU community that can contribute to its diversity and inclusivity?,In what ways have you worked towards promoting diversity and inclusivity in your community and how can you continue to do so at NYU?
Northwestern University,2022,1,"While other parts of your application give us a sense of who you are, we are also excited to hear more about how you see yourself engaging with the larger Northwestern community. In 300 words or less, help us understand how you might engage specific resources, opportunities, and/or communities here. We are curious about what these specifics are, as well as how they may enrich your time at Northwestern and beyond.",300,"What specific resources, opportunities, or communities at Northwestern interest you and how do you plan on engaging with them?",How do you see yourself contributing to the larger Northwestern community and what impact do you hope to have?,"Can you provide examples of past experiences that demonstrate your ability to engage with and contribute to diverse communities, and how do you plan on applying these experiences at Northwestern?"
